year,month,Company_0,Company_1,Company_2,Company_3,Company_4,Company_5,Company_6,Company_7,Company_8,Company_9
1990,Jan,17,32,72,84,120,240,336,120,144,240,invalid Data
1990,Feb,49,98,117,152,235,180,343,248,396,380,invalid Data
1990,Mar,33,56,69,136,65,234,329,192,423,350,invalid Data
1990,Apr,35,36,132,184,110,222,336,160,243,280,invalid Data
1990,May,33,42,81,196,65,270,119,288,378,480,invalid Data
1990,Jun,13,68,84,40,65,222,343,192,189,470,invalid Data
1990,Jul,24,38,120,108,65,78,84,256,153,150,invalid Data
1990,Aug,12,70,132,60,60,66,147,208,288,420,invalid Data
1990,Sep,34,20,120,180,215,126,280,368,252,230,invalid Data
1990,Oct,43,100,108,72,90,144,315,352,297,290,invalid Data
1990,Nov,24,84,90,184,170,144,266,80,144,370,invalid Data
1990,Dec,29,82,111,124,250,228,126,240,441,100,invalid Data
1991,Jan,23,84,36,92,240,198,161,392,378,260,invalid Data
1991,Feb,21,60,117,184,105,126,84,96,234,160,invalid Data
1991,Mar,50,60,84,120,75,132,350,400,324,380,invalid Data
1991,Apr,30,90,57,64,205,138,259,176,117,300,invalid Data
1991,May,49,94,75,44,170,120,119,104,369,260,invalid Data
1991,Jun,19,20,78,160,150,204,203,368,225,230,invalid Data
1991,Jul,40,86,66,112,80,108,196,184,252,180,invalid Data
1991,Aug,23,96,108,196,225,180,147,256,306,160,invalid Data
1991,Sep,34,40,102,144,90,228,329,128,306,170,invalid Data
1991,Oct,45,82,66,52,95,120,119,264,234,250,invalid Data
1991,Nov,29,90,72,172,50,240,210,272,378,300,invalid Data
1991,Dec,45,34,87,44,205,174,329,352,108,340,invalid Data
1992,Jan,23,20,39,80,70,276,168,192,198,170,invalid Data
1992,Feb,27,86,111,172,215,204,308,104,432,330,invalid Data
1992,Mar,35,40,138,84,120,150,245,88,441,280,invalid Data
1992,Apr,24,30,93,80,60,150,294,248,396,170,invalid Data
1992,May,34,98,108,168,185,204,238,224,198,460,invalid Data
1992,Jun,30,54,81,112,145,210,231,376,189,430,invalid Data
1992,Jul,23,84,63,192,150,120,119,184,387,160,invalid Data
1992,Aug,27,84,78,56,195,270,322,280,423,280,invalid Data
1992,Sep,26,48,87,60,120,120,84,152,261,430,invalid Data
1992,Oct,18,28,108,152,90,162,266,112,90,190,invalid Data
1992,Nov,47,88,141,48,120,150,70,232,117,120,invalid Data
1992,Dec,39,54,51,188,65,174,77,112,333,140,invalid Data
1993,Jan,31,30,51,200,215,300,91,168,432,440,invalid Data
1993,Feb,10,30,117,80,60,210,147,136,198,180,invalid Data
1993,Mar,43,36,126,200,220,276,322,320,441,100,invalid Data
1993,Apr,45,60,123,80,75,276,308,384,117,460,invalid Data
1993,May,15,82,45,144,125,138,91,128,396,450,invalid Data
1993,Jun,39,52,120,116,90,150,161,112,225,440,invalid Data
1993,Jul,28,100,102,68,195,78,112,184,225,160,invalid Data
1993,Aug,40,26,60,76,150,198,98,200,333,240,invalid Data
1993,Sep,24,24,144,172,90,60,203,192,441,480,invalid Data
1993,Oct,48,50,63,68,105,156,224,272,333,500,invalid Data
1993,Nov,13,70,87,136,225,294,294,368,216,500,invalid Data
1993,Dec,27,20,87,176,160,180,224,168,198,300,invalid Data
1994,Jan,43,78,63,88,60,60,252,392,342,380,invalid Data
1994,Feb,25,86,48,196,90,174,252,328,387,290,invalid Data
1994,Mar,42,58,30,136,185,288,238,136,189,190,invalid Data
